$Y:\mLB_TP2\08_Projektbearbeitung\utg\Pruefung\Druckproben\Druckversuch_DIN50106.zs2
Vorkraft                                500 N
Prüfgeschwindigkeit                     0.0067 1/s
Durchmesser                             9.95 mm
Probenhoehe                             13.99 mm
$
         Standardweg;       Standardkraft;           Pruefzeit
 3.042596280575e-001; 6.391744140625e+003; 4.160000801086e+000
 3.060919344425e-001; 6.426081542969e+003; 4.180000782013e+000
 3.079489767551e-001; 6.461491699219e+003; 4.200000762939e+000
 3.098555505276e-001; 6.499763671875e+003; 4.220000743866e+000
 3.116630911827e-001; 6.541611816406e+003; 4.240000724792e+000
 3.135696649551e-001; 6.587752929688e+003; 4.260000705719e+000
 3.154514729977e-001; 6.635681640625e+003; 4.280000686646e+000
 3.173580467701e-001; 6.688260742188e+003; 4.300000667572e+000
 3.192646205425e-001; 6.740124511719e+003; 4.320000648499e+000
 3.210721611977e-001; 6.794849609375e+003; 4.340000629425e+000
 3.230035007000e-001; 6.849216796875e+003; 4.360000610352e+000
 3.248605430126e-001; 6.905730468750e+003; 4.380000591278e+000
 3.267423510551e-001; 6.964032226563e+003; 4.400000572205e+000
 3.285994231701e-001; 7.025553222656e+003; 4.420000553131e+000
 3.304564654827e-001; 7.089220214844e+003; 4.440000534058e+000
 3.323878049850e-001; 7.156106445313e+003; 4.460000514984e+000
 3.342448472977e-001; 7.227642578125e+003; 4.480000495911e+000
 3.361266553402e-001; 7.302040039063e+003; 4.500000476837e+000
 3.379837274551e-001; 7.381802734375e+003; 4.520000457764e+000
 3.398160040379e-001; 7.466930664063e+003; 4.540000438690e+000
 3.417473435402e-001; 7.557781250000e+003; 4.560000419617e+000
 3.435548841953e-001; 7.653997070313e+003; 4.580000400543e+000
 3.454366922379e-001; 7.756651367188e+003; 4.600000381470e+000
 3.472937345505e-001; 7.864312988281e+003; 4.620000839233e+000
 3.491755723953e-001; 7.974478515625e+003; 4.640000820160e+000
 3.511068820953e-001; 8.089293945313e+003; 4.660000801086e+000
 3.529639542103e-001; 8.206970703125e+003; 4.680000782013e+000
 3.548705279827e-001; 8.325720703125e+003; 4.700000762939e+000
 3.567275702953e-001; 8.446616210938e+003; 4.720000743866e+000
 3.585846424103e-001; 8.571447265625e+003; 4.740000724792e+000
 3.605159521103e-001; 8.696634765625e+003; 4.760000705719e+000
 3.623482584953e-001; 8.822895507813e+003; 4.780000686646e+000
 3.642300665379e-001; 8.952375976563e+003; 4.800000667572e+000
 3.661118745804e-001; 9.082571289063e+003; 4.820000648499e+000
 3.679937124252e-001; 9.213125000000e+003; 4.840000629425e+000
 3.698755204678e-001; 9.345466796875e+003; 4.860000610352e+000
 3.717077970505e-001; 9.478523437500e+003; 4.880000591278e+000
 3.736143708229e-001; 9.611938476563e+003; 4.900000572205e+000
 3.754466772079e-001; 9.743921875000e+003; 4.920000553131e+000
 3.773037195206e-001; 9.876979492188e+003; 4.940000534058e+000
 3.791855573654e-001; 1.001146679688e+004; 4.960000514984e+000
 3.810178339481e-001; 1.014595507813e+004; 4.980000495911e+000
 3.829739391804e-001; 1.028079980469e+004; 5.000000476837e+000
 3.848557472229e-001; 1.041743359375e+004; 5.020000457764e+000
 3.867375552654e-001; 1.055370996094e+004; 5.040000438690e+000
 3.885946273804e-001; 1.068891308594e+004; 5.060000419617e+000
 3.904516696930e-001; 1.082518945313e+004; 5.080000400543e+000
 3.923582434654e-001; 1.096146582031e+004; 5.100000381470e+000
 3.942152857780e-001; 1.109881445313e+004; 5.120000839233e+000
 3.960971236229e-001; 1.123830957031e+004; 5.140000820160e+000
 3.979541659355e-001; 1.137959375000e+004; 5.160000801086e+000
 3.998359739780e-001; 1.152051953125e+004; 5.180000782013e+000
 4.017673134804e-001; 1.166287597656e+004; 5.200000762939e+000
 4.035748541355e-001; 1.180809472656e+004; 5.220000743866e+000
 4.054814279079e-001; 1.195259667969e+004; 5.240000724792e+000
 4.073384702206e-001; 1.209888867188e+004; 5.260000705719e+000
 4.091707766056e-001; 1.224625292969e+004; 5.280000686646e+000
 4.111021161079e-001; 1.239468945313e+004; 5.300000667572e+000
 4.129096269608e-001; 1.254312695313e+004; 5.320000648499e+000
 4.147914350033e-001; 1.269514062500e+004; 5.340000629425e+000
 4.166980087757e-001; 1.284536718750e+004; 5.360000610352e+000
 4.185798466206e-001; 1.299773828125e+004; 5.380000591278e+000
 4.204864203930e-001; 1.315011035156e+004; 5.400000572205e+000
 4.223186969757e-001; 1.330140917969e+004; 5.420000553131e+000
 4.242252707481e-001; 1.345056152344e+004; 5.440000534058e+000
 4.260823428631e-001; 1.360042968750e+004; 5.460000514984e+000
 4.279393851757e-001; 1.374922460938e+004; 5.480000495911e+000
 4.298459589481e-001; 1.389801953125e+004; 5.500000476837e+000
 4.316782653332e-001; 1.404574121094e+004; 5.520000457764e+000
 4.336095750332e-001; 1.419382128906e+004; 5.540000438690e+000
 4.354666471481e-001; 1.434046972656e+004; 5.560000419617e+000
 4.373236894608e-001; 1.448676074219e+004; 5.580000400543e+000
 4.392302632332e-001; 1.463233691406e+004; 5.600000381470e+000
 4.410625696182e-001; 1.477755468750e+004; 5.620000839233e+000
 4.429443776608e-001; 1.492241503906e+004; 5.640000820160e+000
 4.448014199734e-001; 1.506763378906e+004; 5.660000801086e+000
 4.466584920883e-001; 1.521642871094e+004; 5.680000782013e+000
 4.485155344009e-001; 1.536522363281e+004; 5.700000762939e+000
 4.503973424435e-001; 1.551580664063e+004; 5.720000743866e+000
 4.523534476757e-001; 1.566853613281e+004; 5.740000724792e+000
 4.541857540607e-001; 1.582233886719e+004; 5.760000705719e+000
 4.560923278332e-001; 1.597435253906e+004; 5.780000686646e+000
 4.579741358757e-001; 1.612851269531e+004; 5.800000667572e+000
 4.598064124584e-001; 1.628374609375e+004; 5.820000648499e+000
 4.617377519608e-001; 1.643933593750e+004; 5.840000629425e+000
 4.635700583458e-001; 1.659564257813e+004; 5.860000610352e+000
 4.654518663883e-001; 1.675373828125e+004; 5.880000591278e+000
 4.673584401608e-001; 1.691218945313e+004; 5.900000572205e+000
 4.692154824734e-001; 1.706813867188e+004; 5.920000553131e+000
 4.711220562458e-001; 1.722480273438e+004; 5.940000534058e+000
 4.729295969009e-001; 1.738075000000e+004; 5.960000514984e+000
 4.748361706734e-001; 1.753562695313e+004; 5.980000495911e+000
 4.766932129860e-001; 1.768835546875e+004; 6.000000476837e+000
 4.785502851009e-001; 1.784430468750e+004; 6.020000457764e+000
 4.804320931435e-001; 1.799846484375e+004; 6.040000438690e+000
 4.822396337986e-001; 1.815262500000e+004; 6.060000419617e+000
 4.841957092285e-001; 1.830678515625e+004; 6.080000400543e+000
 4.860775470734e-001; 1.846094531250e+004; 6.100000381470e+000
 4.879345893860e-001; 1.861260156250e+004; 6.120000839233e+000
 4.898411631584e-001; 1.876497265625e+004; 6.140000820160e+000
 4.916734695435e-001; 1.891734375000e+004; 6.160000801086e+000
 4.935800433159e-001; 1.906792773438e+004; 6.180000782013e+000
 4.954370856285e-001; 1.922029882813e+004; 6.200000762939e+000
 4.973188936710e-001; 1.937302929688e+004; 6.220000743866e+000
 4.991759657860e-001; 1.952754687500e+004; 6.240000724792e+000
 5.010577440262e-001; 1.968134960938e+004; 6.260000705719e+000
 5.030138492584e-001; 1.983693945313e+004; 6.280000686646e+000
 5.048214197159e-001; 1.999145898438e+004; 6.300000667572e+000
 5.067031979561e-001; 2.014812109375e+004; 6.320000648499e+000
 5.085850358009e-001; 2.030371289063e+004; 6.340000629425e+000
 5.103925466537e-001; 2.045966210938e+004; 6.360000610352e+000
 5.123239159584e-001; 2.061596679688e+004; 6.380000591278e+000
 5.141314268112e-001; 2.077299023438e+004; 6.400000572205e+000
 5.160132646561e-001; 2.093144140625e+004; 6.420000553131e+000
 5.179198384285e-001; 2.108810546875e+004; 6.440000534058e+000
 5.198016166687e-001; 2.124619921875e+004; 6.460000514984e+000
 5.217081904411e-001; 2.140500976563e+004; 6.480000495911e+000
 5.235404968262e-001; 2.156131640625e+004; 6.500000476837e+000
 5.254718065262e-001; 2.171547656250e+004; 6.520000457764e+000
 5.273289084435e-001; 2.187070898438e+004; 6.540000438690e+000
 5.291859507561e-001; 2.202451171875e+004; 6.560000419617e+000
 5.310925245285e-001; 2.217688476563e+004; 6.580000400543e+000
 5.329000353813e-001; 2.233068554688e+004; 6.600000381470e+000
 5.348561406136e-001; 2.248198437500e+004; 6.620000839233e+000
 5.367379784584e-001; 2.263221093750e+004; 6.640000820160e+000
 5.385702252388e-001; 2.278243554688e+004; 6.660000801086e+000
 5.404767990112e-001; 2.293087304688e+004; 6.680000782013e+000
 5.422843694687e-001; 2.307931054688e+004; 6.700000762939e+000
 5.441909432411e-001; 2.322846289063e+004; 6.720000743866e+000
 5.460479855537e-001; 2.337690039063e+004; 6.740000724792e+000
 5.478802919388e-001; 2.352605273438e+004; 6.760000705719e+000
 5.497620701790e-001; 2.367699414063e+004; 6.780000686646e+000
 5.516439080238e-001; 2.382757812500e+004; 6.800000667572e+000
 5.535752177238e-001; 2.397959179688e+004; 6.820000648499e+000
 5.554323196411e-001; 2.413267968750e+004; 6.840000629425e+000
 5.573140978813e-001; 2.428433593750e+004; 6.860000610352e+000
 5.591959357262e-001; 2.443491796875e+004; 6.880000591278e+000
 5.610282421112e-001; 2.458621679688e+004; 6.900000572205e+000
 5.629595518112e-001; 2.473608593750e+004; 6.920000553131e+000
 5.648165941238e-001; 2.488595312500e+004; 6.940000534058e+000
 5.666736364365e-001; 2.503510546875e+004; 6.960000514984e+000
 5.685802102089e-001; 2.518497460938e+004; 6.980000495911e+000
 5.704620480537e-001; 2.533269531250e+004; 7.000000476837e+000
 5.723438858986e-001; 2.548006054688e+004; 7.020000457764e+000
 5.741761326790e-001; 2.562420507813e+004; 7.040000438690e+000
 5.760579705238e-001; 2.576727734375e+004; 7.060000419617e+000
 5.779150128365e-001; 2.590677148438e+004; 7.080000400543e+000
 5.797720551491e-001; 2.604483593750e+004; 7.100000381470e+000
 5.816538929939e-001; 2.618147070313e+004; 7.120000839233e+000
 5.834861993790e-001; 2.631524218750e+004; 7.140000820160e+000
 5.854175090790e-001; 2.644758398438e+004; 7.160000801086e+000
 5.872993469238e-001; 2.657885351563e+004; 7.180000782013e+000
 5.891563892365e-001; 2.670583007813e+004; 7.200000762939e+000
 5.910876989365e-001; 2.683066015625e+004; 7.220000743866e+000
 5.928952693939e-001; 2.695477539063e+004; 7.240000724792e+000
 5.948018431664e-001; 2.707495507813e+004; 7.260000705719e+000
 5.966588854790e-001; 2.719048632813e+004; 7.280000686646e+000
 5.985406637192e-001; 2.730494335938e+004; 7.300000667572e+000
 6.004225015640e-001; 2.741475195313e+004; 7.320000648499e+000
 6.022795438766e-001; 2.751812109375e+004; 7.340000629425e+000
 6.042356491089e-001; 2.761719921875e+004; 7.360000610352e+000
 6.060679554939e-001; 2.771055273438e+004; 7.380000591278e+000
 6.079249978065e-001; 2.779568164063e+004; 7.400000572205e+000
 6.098068356514e-001; 2.787222460938e+004; 7.420000553131e+000
 6.116390824318e-001; 2.793839453125e+004; 7.440000534058e+000
 6.135456562042e-001; 2.798775585938e+004; 7.460000514984e+000
 6.153779625893e-001; 2.801923046875e+004; 7.480000495911e+000
 6.172350049019e-001; 2.803031835938e+004; 7.500000476837e+000
 6.191663742065e-001; 2.801887304688e+004; 7.520000457764e+000
 6.210234165192e-001; 2.798560937500e+004; 7.540000438690e+000
 6.229547262192e-001; 2.793732226563e+004; 7.560000419617e+000
 6.247870326042e-001; 2.787687500000e+004; 7.580000400543e+000
 6.266936063766e-001; 2.781070312500e+004; 7.600000381470e+000
 6.285506486893e-001; 2.774310156250e+004; 7.620000839233e+000
 6.304077506065e-001; 2.768015039063e+004; 7.640000820160e+000
 6.323143243790e-001; 2.762292187500e+004; 7.660000801086e+000
 6.341465711594e-001; 2.757391992188e+004; 7.680000782013e+000
 6.360779404640e-001; 2.753099804688e+004; 7.700000762939e+000
 6.379597187042e-001; 2.749451367188e+004; 7.720000743866e+000
 6.398168206215e-001; 2.746268164063e+004; 7.740000724792e+000
 6.417233943939e-001; 2.743657031250e+004; 7.760000705719e+000
 6.435309052467e-001; 2.741010156250e+004; 7.780000686646e+000
 6.454374790192e-001; 2.736896875000e+004; 7.800000667572e+000
 6.470469236374e-001; 2.730995117188e+004; 7.820000648499e+000
 6.475916504860e-001; 2.723948828125e+004; 7.840000629425e+000
 6.478145122528e-001; 2.715507617188e+004; 7.860000610352e+000
 6.480125784874e-001; 2.706350976563e+004; 7.880000591278e+000
 6.480869054794e-001; 2.698124414063e+004; 7.900000572205e+000
 6.481363773346e-001; 2.691078125000e+004; 7.920000553131e+000
 6.481611728668e-001; 2.684818554688e+004; 7.940000534058e+000
 6.481611728668e-001; 2.679346093750e+004; 7.960000514984e+000
 6.481859087944e-001; 2.674445898438e+004; 7.980000495911e+000
 6.481859087944e-001; 2.670189453125e+004; 8.000000953674e+000
 6.481859087944e-001; 2.666255078125e+004; 8.020000457764e+000
 6.481859087944e-001; 2.662749804688e+004; 8.040000915527e+000
 6.481859087944e-001; 2.659566406250e+004; 8.060000419617e+000
 6.481859087944e-001; 2.655131250000e+004; 8.080000877380e+000
 6.480373740196e-001; 2.648084960938e+004; 8.100000381470e+000
 6.466755270958e-001; 2.638499023438e+004; 8.120000839233e+000
 6.447936892509e-001; 2.625908789063e+004; 8.140000343323e+000
 6.430604457855e-001; 2.610421093750e+004; 8.160000801086e+000
 6.412034034729e-001; 2.593610156250e+004; 8.180000305176e+000
 6.393958926201e-001; 2.577442968750e+004; 8.200000762939e+000
 6.374893188477e-001; 2.562349023438e+004; 8.220000267029e+000
 6.355827450752e-001; 2.547862890625e+004; 8.240000724792e+000
 6.337504386902e-001; 2.533698828125e+004; 8.260000228882e+000
 6.318190693855e-001; 2.519427343750e+004; 8.280000686646e+000
 6.300115585327e-001; 2.504440625000e+004; 8.300000190735e+000
 6.281297206879e-001; 2.488774218750e+004; 8.320000648499e+000
 6.262479424477e-001; 2.472964648438e+004; 8.340000152588e+000
 6.243909001350e-001; 2.456976367188e+004; 8.360000610352e+000
 6.225090622902e-001; 2.440737695313e+004; 8.380001068115e+000
 6.206520199776e-001; 2.424177148438e+004; 8.400000572205e+000
 6.187206506729e-001; 2.407080078125e+004; 8.420001029968e+000
